stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
57,,"8 MAI 45",,49.099805,6.138669,,https://services.lemet.fr/fr/biv/arret/1530,0,,2
46,,"8 MAI 45",,49.099927,6.138371,,https://services.lemet.fr/fr/biv/arret/1530,0,,2
450,,"11ème D'AVIATION",,49.085890,6.146239,,https://services.lemet.fr/fr/biv/arret/7264,0,,2
852,,"11ème D'AVIATION",,49.086159,6.145297,,https://services.lemet.fr/fr/biv/arret/7264,0,,2
323,,"18 AOUT",,49.191534,6.034971,,,0,,1
322,,"18 AOUT",,49.191388,6.035001,,,0,,1
928,,"19 NOVEMBRE",,49.091774,6.161323,,https://services.lemet.fr/fr/biv/arret/1550,0,,2
929,,"19 NOVEMBRE",,49.092028,6.161481,,https://services.lemet.fr/fr/biv/arret/1550,0,,2
519,,"DEUX FONTAINES",,49.148061,6.171578,,https://services.lemet.fr/fr/biv/arret/1504,0,,2
451,,"DEUX FONTAINES",,49.148956,6.171576,,https://services.lemet.fr/fr/biv/arret/1504,0,,2
530,,"TRENTE JOURS",,49.096271,6.245860,,https://services.lemet.fr/fr/biv/arret/1580,0,,1
536,,"TRENTE JOURS",,49.096403,6.245779,,https://services.lemet.fr/fr/biv/arret/1580,0,,1
179,,"TROIS EVECHES",,49.106303,6.191888,,https://services.lemet.fr/fr/biv/arret/7413,0,,2
101,,"TROIS HAIES",,49.090659,6.123135,,https://services.lemet.fr/fr/biv/arret/7464,0,,1
115,,"TROIS HAIES",,49.090713,6.122693,,https://services.lemet.fr/fr/biv/arret/7464,0,,1
161,,"QUATRE BORNES",,49.139202,6.153451,,https://services.lemet.fr/fr/biv/arret/1572,0,,1
157,,"QUATRE BORNES",,49.139403,6.153449,,https://services.lemet.fr/fr/biv/arret/1572,0,,1
362,,"QUATRE VENTS",,49.094514,6.176234,,https://services.lemet.fr/fr/biv/arret/1551,0,,1
310,,"QUATRE VENTS",,49.094382,6.175952,,https://services.lemet.fr/fr/biv/arret/1551,0,,1
806,,"ABBE BAUZIN",,49.189290,6.035000,,https://services.lemet.fr/fr/biv/arret/27650,0,,1
802,,"ABBE BAUZIN",,49.189344,6.036790,,https://services.lemet.fr/fr/biv/arret/27650,0,,1
591,,"AUBEPINE",,49.071569,6.193588,,https://services.lemet.fr/fr/biv/arret/7295,0,,1
588,,"ACACIAS",,49.073443,6.184514,,https://services.lemet.fr/fr/biv/arret/1513,0,,2
307,,"ACACIAS",,49.073284,6.184477,,https://services.lemet.fr/fr/biv/arret/1513,0,,2
706,,"ACTISUD DUNIL",,49.076518,6.102841,,https://services.lemet.fr/fr/biv/arret/1596,0,,2
707,,"ACTISUD DUNIL",,49.076467,6.102942,,https://services.lemet.fr/fr/biv/arret/1596,0,,2
6180,,"FELIX ALCAN",,49.112572,6.199158,,https://services.lemet.fr/fr/biv/arret/7324,0,,1
6185,,"FELIX ALCAN",,49.112733,6.197773,,https://services.lemet.fr/fr/biv/arret/7324,0,,1
81,,"ALGER",,49.094445,6.135356,,https://services.lemet.fr/fr/biv/arret/7452,0,,1
71,,"ALGER",,49.094330,6.134834,,https://services.lemet.fr/fr/biv/arret/7452,0,,1
55,,"ALSACE",,49.097637,6.129110,,https://services.lemet.fr/fr/biv/arret/7453,0,,1
48,,"ALSACE",,49.097844,6.129581,,https://services.lemet.fr/fr/biv/arret/7453,0,,1
388,,"ALSACE-LORRAINE",,49.121440,6.194683,,https://services.lemet.fr/fr/biv/arret/7288,0,,1
368,,"ALSACE-LORRAINE",,49.121304,6.195390,,https://services.lemet.fr/fr/biv/arret/7288,0,,1
720,,"AMANVILLERS MAIRIE",,49.167365,6.044078,,https://services.lemet.fr/fr/biv/arret/28417,0,,1
735,,"AMANVILLERS MAIRIE",,49.167371,6.043769,,https://services.lemet.fr/fr/biv/arret/28417,0,,1
602,,"AMAZON",,49.064123,6.129319,,https://services.lemet.fr/fr/biv/arret/105996,0,,1
680,,"AMPERE",,49.103321,6.228833,,https://services.lemet.fr/fr/biv/arret/7289,0,,1
679,,"AMPERE",,49.103631,6.228814,,https://services.lemet.fr/fr/biv/arret/7289,0,,1
249,,"APREMONT",,49.080330,6.187050,,https://services.lemet.fr/fr/biv/arret/7291,0,,1
578,,"APREMONT",,49.080609,6.186506,,https://services.lemet.fr/fr/biv/arret/7291,0,,1
